Title,Current Price,Old Price,Diff,url
"Monitor BenQ GL2480E TN 24"" FHD 16:9 75Hz","99,90",,,https://www.pcdiga.com/monitor-benq-gl2480e-tn-24-fhd-16-9-75hz
"Monitor AOC 27B2H IPS 27"" FHD 16:9 75Hz","134,90","139,90","
        -5     ",https://www.pcdiga.com/monitor-aoc-27b2h-ips-27-fhd-16-9-75hz
"Monitor Samsung F350 27"" PLS FHD 16:9 60Hz","139,90","149,90","
        -10     ",https://www.pcdiga.com/monitor-samsung-27-pls-fhd-s27f350fhu
"Monitor Asus VA27EHE IPS 27"" FHD 16:9 75Hz FreeSync","144,90","149,90","
        -5     ",https://www.pcdiga.com/monitor-asus-va27ehe-ips-27-fhd-16-9-75hz-freesync
"Monitor Asus VP248QG TN 24"" FHD 16:9 75Hz FreeSync","144,90","159,90","
        -15     ",https://www.pcdiga.com/monitor-asus-vp248qg-tn-24-fhd-16-9-75hz-freesync
"Monitor Samsung SR35 IPS 27"" FHD 16:9 75Hz FreeSync","149,90",,,https://www.pcdiga.com/monitor-samsung-sr35-ips-27-fhd-16-9-75hz-freesync
"Monitor LG 27MK430H-B IPS 27"" FHD 16:9 75Hz FreeSync","154,90","159,90","
        -5     ",https://www.pcdiga.com/monitor-lg-27mk430h-b
"Monitor Asus VX279HG IPS 27"" FHD 16:9 75Hz FreeSync","159,90","199,90","
        -40     ",https://www.pcdiga.com/monitor-asus-vx279hg-ips-27-fhd-16-9-75hz-freesync
"Monitor Curvo Samsung CR500 VA 27"" FHD 16:9 60Hz FreeSync","169,90","179,90","
        -10     ",https://www.pcdiga.com/monitor-curvo-samsung-cr500-va-27-fhd-16-9-60hz-freesync
"Monitor Ozone DSP25 TN 24.5"" FHD 16:9 144Hz FreeSync / G-SYNC Compatible","169,90","189,90","
        -20     ",https://www.pcdiga.com/monitor-ozone-dsp25-tn-24-5-fhd-16-9-144hz-freesync-g-sync-compatible
"Monitor LG 27MP59G-P IPS 27"" FHD 16:9 75Hz FreeSync","169,90","199,90","
        -30     ",https://www.pcdiga.com/monitor-lg-27mp59g-p-ips-27-fhd-16-9-75hz-freesync
"Monitor Asus VP278QG TN 27"" FHD 16:9 75Hz FreeSync","174,90","219,00","
        -44     ",https://www.pcdiga.com/monitor-asus-vp278qg-tn-27-fhd-16-9-75hz-freesync
"Monitor Ozone DSP25 Pro TN 24.5"" FHD 16:9 144Hz FreeSync / G-SYNC Compatible","179,90","199,90","
        -20     ",https://www.pcdiga.com/monitor-ozone-dsp25-pro-tn-24-5-fhd-16-9-144hz-freesync-g-sync-compatible
"Monitor Lenovo Gaming G25-10 TN 24.5"" FHD 16:9 144Hz FreeSync / G-Sync Compatible","179,90","239,90","
        -60     ",https://www.pcdiga.com//monitor-lenovo-gaming-g25-10-tn-24-5-fhd-16-9-144hz-freesync
"Monitor AOC 27G2U5 IPS 27"" FHD 16:9 75Hz FreeSync","179,90","199,90","
        -20     ",https://www.pcdiga.com/monitor-aoc-27g2u5-ips-27-fhd-16-9-75hz-freesync
"Monitor Lenovo L27m-28 IPS 27"" FHD 16:9 75Hz FreeSync","179,90","279,90","
        -99     ",https://www.pcdiga.com/monitor-lenovo-l27m-28-ips-27-fhd-16-9-75hz-freesync
"Monitor AOC G2790VXA VA 27"" FHD 16:9 144Hz FreeSync","199,90",,,https://www.pcdiga.com/monitor-aoc-g2790vxa-va-27-fhd-16-9-144hz-freesync
"Monitor Ozone DSP24 240 TN 24"" FHD 240Hz FreeSync / G-SYNC Compatible","199,90","279,90","
        -79     ",https://www.pcdiga.com/monitor-ozone-dsp24-240-tn-24-fhd-240hz-freesync-g-sync-compatible-ozdsp24fhd240
"Monitor AOC U2879VF TN 28"" 4K UHD 16:9 60Hz FreeSync","199,90","229,90","
        -30     ",https://www.pcdiga.com/monitor-aoc-u2879vf-28-4k-uhd-16-9-60hz
"Monitor Curvo Samsung CFG73 27"" VA FHD 16:9 144Hz FreeSync","199,90","229,90","
        -30     ",https://www.pcdiga.com/monitor-curvo-samsung-cfg73-27-va-fhd-16-9-144hz-freesync
"Monitor BenQ Zowie XL2411P TN 24"" FHD 16:9 144Hz","199,90","259,90","
        -59     ",https://www.pcdiga.com/monitor-benq-zowie-xl2411p-tn-24-fhd-16-9-144hz
"Monitor Curvo Samsung CF391 31.5"" VA FHD 16:9 60Hz","199,90","239,90","
        -40     ",https://www.pcdiga.com/monitor-samsung-31-5-led-fhd-curvo-c32f391fwu
"Monitor Asus VG248QE TN 24"" FHD 16:9 144Hz 3D","199,90","269,90","
        -69     ",https://www.pcdiga.com/monitor-asus-vg248qe-tn-24-fhd-16-9-144hz-3d
"Monitor LG 27BL650C-B IPS 27"" FHD 16:9 75Hz","209,90","249,90","
        -40     ",https://www.pcdiga.com/monitor-lg-27bl650c-b-ips-27-fhd-16-9-75hz
