Title,Current Price,Old Price,Diff,Date
Monitor PHILIPS 273V7QDSB (27'' - Full HD - LED IPS),129,147,18,23/11/2020
Monitor AOC 27B2H (27'' - Full HD - LED IPS),129,0,0,23/11/2020
Monitor Gaming SAMSUNG S27E330H (27'' - 1 ms - 60 Hz),139,0,0,23/11/2020
Monitor HANNSPREE HL274HPB (27'' - Full HD - LED),148,193,45,23/11/2020
Monitor HP 27FH (27'' - Full HD - IPS - FreeSync),149,199,50,23/11/2020
Monitor Gaming ACER KG271 (27'' - 1 ms - 75 Hz - FreeSync),151,0,0,23/11/2020
Monitor BENQ GL2580H (25'' - Full HD - TN),154,0,0,23/11/2020
Monitor ACER KA270HABID (27'' - Full HD - VA),154,180,26,23/11/2020
Monitor HANNSPREE HS 275 HFB (27''),155,0,0,23/11/2020
Monitor Gaming AOC G2590VXQ (24.5'' - 1 ms - 75 Hz),158,0,0,23/11/2020
Monitor LG 25UM58-P (25'' - UWHD - LED IPS),159,0,0,23/11/2020
Monitor V7 L27ADS-2E (27'' - Full HD - LED),159,177,18,23/11/2020
Monitor PHILIPS 273V7QJAB (27'' - Full HD - LED IPS),159,0,0,23/11/2020
Monitor LG 27MK430H (27'' - Full HD - LED IPS - FreeSync),159,189,30,23/11/2020
Monitor Curvo SAMSUNG C27R500 (27'' - Full HD - VA - FreeSync),159,199,40,23/11/2020
Monitor PHILIPS 273V7QDAB (27'' - Full HD - LED IPS),161,0,0,23/11/2020
Monitor Gaming ASUS VP278H (27'' - 1 ms - 75 Hz),163,0,0,23/11/2020
Monitor ACER V277bip (27'' - Full HD - LED),165,194,29,23/11/2020
Monitor Gaming IIYAMA G-Master G2530HSU-B1 (24'' - 2 ms - Full HD),165,0,0,23/11/2020
Monitor SAMSUNG LS27R650FDU (27'' - Full HD - IPS IPS),167,0,0,23/11/2020
Monitor BENQ GL2580HM (25'' - Full HD - TN),167,0,0,23/11/2020
Monitor ASUS VS278H (27'' - LED),168,0,0,23/11/2020
Monitor Gaming LG 27MP59G-P (27'' - 1 ms - 75 Hz - FreeSync),169,199,30,23/11/2020
Monitor Curvo PHILIPS 271E1SCA (27'' - Full HD - LED VA),169,0,0,23/11/2020
Monitor PHILIPS 273V7QDSB (27'' - Full HD - LED IPS),129,147,18,23/11/2020
Monitor AOC 27B2H (27'' - Full HD - LED IPS),129,0,0,23/11/2020
Monitor Gaming SAMSUNG S27E330H (27'' - 1 ms - 60 Hz),139,0,0,23/11/2020
Monitor HANNSPREE HL274HPB (27'' - Full HD - LED),148,193,45,23/11/2020
Monitor HP 27FH (27'' - Full HD - IPS - FreeSync),149,199,50,23/11/2020
